,Grass Coverage,Herbivore Population,Predator Population
0,10.0,50,6
1,10.53125,50,6
2,10.890625,50,6
3,11.09375,49,6
4,11.546875,49,6
5,11.984375,49,6
6,12.46875,49,6
7,12.921875,49,6
8,13.421875,49,6
9,13.890625,49,6
10,14.203125,49,6
11,14.828125,48,6
12,15.25,48,6
13,15.640625,50,7
14,16.0625,51,7
15,16.453125,54,7
16,16.828125,56,7
17,17.234375,56,7
18,17.59375,58,7
19,18.203125,59,7
20,18.65625,60,7
21,19.203125,64,7
22,19.8125,64,7
23,20.390625,65,7
24,20.84375,66,7
25,21.359375,65,7
26,22.0,66,7
27,22.671875,66,7
28,22.953125,66,7
29,23.515625,66,7
30,24.0625,66,7
31,24.5625,67,7
32,25.484374999999996,68,7
33,26.015624999999996,70,7
34,26.59375,68,7
35,27.328124999999996,71,7
36,27.921875,73,7
37,28.46875,74,7
38,28.921875000000004,79,7
39,29.609375,81,7
40,30.078125,81,7
41,30.71875,81,7
42,31.421875,84,7
43,32.03125,86,7
44,32.6875,87,7
45,33.28125,87,7
46,33.765625,89,7
47,34.375,92,7
48,34.875,94,7
49,35.265625,99,7
50,35.796875,101,7
51,36.078125,102,7
52,36.296875,107,7
53,37.046875,114,7
54,37.328125,117,7
55,37.578125,126,7
56,37.796875,131,7
57,38.265625,132,7
58,38.796875,135,7
59,39.234375,139,7
60,39.546875,141,7
61,39.859375,147,7
62,40.203125,154,7
63,40.46875,156,7
64,40.78125,160,7
65,40.703125,165,8
66,40.875,170,8
67,41.234375,172,8
68,41.421875,175,8
69,41.640625,187,8
70,41.953125,191,8
71,41.8125,199,8
72,41.96875,205,8
73,42.171875,216,8
74,42.140625,224,8
75,42.078125,231,8
76,41.84375,237,8
77,42.046875,239,8
78,41.9375,246,8
79,41.96875,250,8
80,42.109375,257,8
81,41.8125,270,8
82,41.625,277,8
83,41.171875,284,8
84,41.015625,295,8
85,40.796875,303,8
86,40.359375,312,10
87,40.140625,317,10
88,39.984375,327,10
89,39.8125,336,10
90,39.46875,346,11
91,39.125,361,11
92,38.65625,369,11
93,38.0,380,11
94,37.46875,389,11
95,37.1875,399,11
96,36.640625,409,11
97,36.109375,423,11
98,35.296875,427,11
99,34.6875,439,11
100,34.15625,452,11
101,33.6875,464,11
102,33.484375,480,11
103,32.984375,492,11
104,32.28125,501,11
105,31.78125,511,11
106,31.03125,526,12
107,30.21875,536,12
108,29.562500000000004,546,12
109,28.953125,562,12
110,28.109374999999996,573,12
111,27.468749999999996,582,12
112,26.718750000000004,593,12
113,25.937500000000004,608,12
114,25.265625000000004,622,12
115,24.828125,629,12
116,24.125,641,12
117,23.5625,660,12
118,22.703125,671,12
119,21.6875,688,12
120,20.96875,698,12
121,20.015625,712,12
122,19.0625,722,12
123,18.359375,738,12
124,17.359375,750,12
125,16.671875,757,12
126,15.84375,766,12
127,15.015625,777,13
128,14.390625000000002,788,13
129,13.6875,796,13
130,13.28125,811,14
131,12.671875,818,14
132,12.0,826,14
133,11.234375,837,14
134,10.671875,843,14
135,10.390625,850,14
136,9.859375,858,14
137,9.46875,867,15
138,8.734375,876,15
139,8.265625,883,15
140,7.9375,889,16
141,7.625,892,16
142,7.28125,898,16
143,6.90625,907,17
144,6.640625,912,17
145,6.15625,918,17
146,5.859375,925,17
147,5.40625,931,17
148,4.96875,934,19
149,4.5625,942,19
150,4.4375,949,19
151,4.078125,957,19
152,3.90625,961,19
153,3.8281250000000004,963,19
154,3.6249999999999996,967,19
155,3.546875,967,19
156,3.21875,969,19
157,2.96875,973,19
158,2.78125,976,19
159,2.734375,980,19
160,2.59375,983,20
161,2.515625,979,20
162,2.390625,979,22
163,2.359375,982,22
164,2.234375,985,23
165,2.078125,989,23
166,1.9375,989,23
167,1.9375,991,23
168,1.859375,992,23
169,1.7812499999999998,990,23
170,1.7031250000000002,989,24
171,1.609375,989,24
172,1.515625,989,24
173,1.375,988,24
174,1.34375,991,25
175,1.34375,988,25
176,1.296875,986,25
177,1.203125,983,25
178,1.140625,982,26
179,1.09375,983,26
180,1.0625,986,26
181,1.078125,987,27
182,1.09375,992,27
183,1.03125,994,28
184,0.953125,993,28
185,0.8906249999999999,989,28
186,0.84375,988,28
187,0.78125,987,28
188,0.796875,984,28
189,0.75,986,28
190,0.640625,982,31
191,0.625,980,31
192,0.578125,975,31
193,0.546875,975,31
194,0.515625,972,32
195,0.484375,964,32
196,0.43750000000000006,965,32
197,0.46875,965,32
198,0.46875,963,32
199,0.46875,959,33
200,0.390625,957,33
201,0.40625,956,33
202,0.421875,953,33
203,0.390625,950,33
204,0.34375,944,34
205,0.28125,940,35
206,0.28125,934,35
207,0.234375,930,36
208,0.21875000000000003,926,36
209,0.1875,924,38
210,0.21875000000000003,917,38
211,0.203125,914,38
212,0.1875,910,38
213,0.203125,905,38
214,0.171875,904,38
215,0.203125,898,38
216,0.25,895,38
217,0.25,892,38
218,0.234375,892,39
219,0.234375,889,40
220,0.234375,881,40
221,0.21875000000000003,878,41
222,0.1875,876,41
223,0.15625,870,43
224,0.10937500000000001,863,44
225,0.09375,859,44
226,0.09375,856,44
227,0.125,851,46
228,0.10937500000000001,847,47
229,0.10937500000000001,843,49
230,0.10937500000000001,838,50
231,0.125,828,50
232,0.15625,819,52
233,0.15625,813,52
234,0.171875,802,53
235,0.234375,794,55
236,0.1875,789,55
237,0.1875,779,56
238,0.1875,769,57
239,0.203125,757,57
240,0.1875,745,58
241,0.21875000000000003,736,58
242,0.21875000000000003,729,58
243,0.25,722,58
244,0.296875,716,58
245,0.296875,709,59
246,0.328125,702,59
247,0.3125,690,59
248,0.328125,685,60
249,0.328125,673,62
250,0.34375,664,62
251,0.359375,656,63
252,0.375,648,64
253,0.375,640,65
254,0.359375,634,66
255,0.390625,626,67
256,0.375,615,67
257,0.359375,610,68
258,0.328125,600,69
259,0.328125,587,70
260,0.375,572,72
261,0.40625,563,73
262,0.375,551,76
263,0.359375,544,77
264,0.34375,532,78
265,0.34375,523,80
266,0.328125,510,80
267,0.3125,506,80
268,0.28125,495,81
269,0.265625,483,82
270,0.28125,472,82
271,0.28125,462,83
272,0.265625,449,84
273,0.265625,438,85
274,0.265625,424,87
275,0.28125,413,87
276,0.296875,406,89
277,0.296875,396,89
278,0.296875,388,89
279,0.34375,379,93
280,0.34375,370,93
281,0.34375,357,96
282,0.34375,342,96
283,0.328125,336,96
284,0.390625,319,100
285,0.390625,313,100
286,0.375,303,100
287,0.40625,294,101
288,0.46875,285,103
289,0.46875,278,104
290,0.484375,271,105
291,0.546875,263,106
292,0.5625,255,106
293,0.59375,249,107
294,0.609375,240,107
295,0.625,230,107
296,0.609375,227,107
297,0.625,220,107
298,0.609375,213,110
299,0.609375,207,112
300,0.609375,200,112
301,0.671875,196,113
302,0.6875,186,115
303,0.703125,180,116
304,0.703125,172,117
305,0.71875,166,120
306,0.71875,162,121
307,0.71875,153,122
308,0.734375,149,122
309,0.75,145,124
310,0.765625,136,128
311,0.75,128,129
312,0.78125,123,130
313,0.796875,115,131
314,0.8593750000000001,102,132
315,0.9062499999999999,93,133
316,0.96875,89,135
317,1.046875,85,137
318,1.109375,79,137
319,1.140625,72,138
320,1.1875,65,139
321,1.28125,57,139
322,1.359375,50,141
323,1.359375,46,142
324,1.375,42,142
325,1.421875,41,143
326,1.515625,38,143
